Virat Kohli,{{birth date and age|1988|11|5|df|=|y}},imVkohli
Vidi Aldiano,{{birth date and age|df|=|yes|1990|3|29}},vidialdiano
Anne Curtis,{{birth date and age|1985|2|17|df|=|yes}},annecurtissmith
Sachin Tendulkar,{{Birth date and age|1973|4|24|df|=|yes}},sachin_rt
Marcelo Tas,61,MarceloTas
Mishary bin Rashid Alafasy,{{birth date and age|1976|09|05|mf|=|yes}},mishari_alafasy
Carles Puyol,{{Birth date and age|1978|4|13|df|=|y}},Carles5puyol
Seth MacFarlane,47,SethMacFarlane
Thalía,49,thalia
Cesc Fàbregas,{{birth date and age|1987|5|4|df|=|y}},cesc4official
50 Cent,45,50cent
O. J. Simpson,73,joejonas
Big Star,,BigSean
5 Seconds of Summer,,5SOS
Aziz Ansari,38,azizansari
David Bisbal,{{birth date and age|1979|6|5|df|=|y}},davidbisbal
Abhishek Bachchan,{{birth date and age|df|=|yes|1976|02|05}},juniorbachchan
Tatá Werneck,{{birth date and age|df|=|yes|1983|08|11}},Tatawerneck
Robin van Persie,{{birth date and age|1983|8|6|df|=|y}},Persie_Official
Cody Simpson,{{Birth date and age|df|=|yes|1997|1|11}},CodySimpson
Luis Fonsi,42,LuisFonsi
Marco Luque,{{birth date and age|mf|=|yes|1974|4|9}},marcoluque
Eugenio Derbez,59,EugenioDerbez
J. Cole,36,JColeNC
Miranda Cosgrove,27,MirandaCosgrove
John Legend,42,johnlegend
Eva Longoria,{{birth date and age|1975|3|15|mf|=|y}},EvaLongoria
Salman al-Ouda,64,salman_alodah
Karan Johar,{{Birth date and age|1972|05|25|df|=|yes}},karanjohar
David Villa,{{birth date and age|df|=|yes|1981|12|3}},Guaje7Villa
Cher Lloyd,,CherLloyd
Jessica Simpson,40,JessicaSimpson
Nancy Ajram,{{birth date and age|1983|5|16|mf|=|y}},NancyAjram
Anderson Silva,45,SpiderAnderson
Ricardo Montaner,63,montanertwiter
Carmelo Anthony,36,carmeloanthony
Sarah Silverman,50,SarahKSilverman
Shaandaar,,shahidkapoor
Tyga,31,Tyga
Roberto Bolaño,{{birth date|df|=|yes|1953|4|28}},ChespiritoRGB
Snooki,33,snooki
Marcelo Tinelli,{{Birth date and age|1960|04|1|mf|=|yes}},cuervotinelli
Queen Latifah,{{Birth date and age|mf|=|yes|1970|3|18}},IAMQUEENLATIFAH
Zooey Deschanel,41,ZooeyDeschanel
Raffi Ahmad,{{birth date and age|df|=|yes|1987|2|17}},RaffiAhmadLagi
Calvin Harris,{{birth date and age|1984|1|17|df|=|y}},CalvinHarris
Ciarán,,ciara
Steve Martin,75,SteveMartinToGo
Olly Murs,{{Birth date and age|df|=|yes|1984|5|14}},ollyofficial
Dani Alves,{{birth date and age|1983|5|6|df|=|y}},DaniAlvesD2
Kelly Rowland,40,KELLYROWLAND
Fearne Cotton,{{birth date and age|df|=|yes|1981|9|3}},Fearnecotton
Rio Ferdinand,{{birth date and age|1978|11|7|df|=|y}},rioferdy5
Luke Hemmings,{{Birth date and age|df|=|yes|1996|7|16}},Luke5SOS
Shireen Sungkar,29,shireensungkar
Jessica Iskandar,33,jedarcantik
Mario Teguh,{{birth date and age|1956|03|05|mf|=|yes}},MTLovenHoney
Fábio Porchat,37,FabioPorchat
Farhan Akhtar,{{Birth date and age|df|=|yes|1974|01|09}},FarOutAkhtar
Jennette McCurdy,{{birth date and age|1992|6|26|mf|=|yes}},jennettemccurdy
Gustavo Lima,{{Birth date and age|1989|9|3|mf|=|y}},gusttavo_lima
,,pittyleone
Juan Luis Guerra,63,JuanLuisGuerra
Perez Hilton,43,PerezHilton
Dwight Howard,{{birth date and age|mf|=|yes|1985|12|8}},DwightHoward
,,CHAYANNEMUSIC
Ricardo Arjona,{{Birth date and age|1964|1|19|df|=|y}},Ricardo_Arjona
Shaandaar,,aliaa08
Vice Ganda,{{Birth date and age|mf|=|yes|1976|3|31}},vicegandako
,35,DulceMaria
Ian Somerhalder,42,iansomerhalder
Jimmy Kimmel,53,jimmykimmel
Luan Santana,{{birth date and age |mf|=|yes|1991|3|13}},luansantana
Iggy Azalea,{{birth date and age|df|=|yes|1990|6|7}},IGGYAZALEA
Galilea Montijo,47,GalileaMontijo
Anushka Sharma,{{Birth date and age|df|=|yes|1988|5|1}},AnushkaSharma
Robert Kardashian,77,robkardashian
Omar Chaparro,46,OMARCHAPARRO
Sergio Ramos,{{birth date and age|1986|3|30|df|=|y}},SergioRamos
Pânico na Band,,rodrigovesgo
Lana Del Rey,{{Birth date and age|mf|=|yes|1985|6|21}},LanaDelRey
Sonakshi Sinha,{{birth date and age|df|=|yes|1987|6|2}},sonakshisinha
Javier Mascherano,{{birth date and age|1984|6|8|df|=|y}},Mascherano
Chetan Bhagat,{{birth date and age|1974|04|22|df|=|yes}},chetan_bhagat
Calum Hood,{{Birth date and age|df|=|yes|1996|01|25}},Calum5SOS
J. K. Rowling,{{Birth date and age|df|=|yes|1965|7|31}},jk_rowling
Florida,,official_flo
Chelsea Handler,46,chelseahandler
Cheryl,,CherylOfficial
Luis  Suárez,{{birth date and age|1987|1|24|df|=|y}},LuisSuarez9
Parineeti Chopra,{{birth date and age|df|=|yes|1988|10|22}},ParineetiChopra
Robert Downey Jr.,56,RobertDowneyJr
Gonzalo Higuaín,{{birth date and age|1987|12|10|df|=|y}},G_Higuain
Tom Cruise,58,TomCruise
Kendrick Lamar,{{birth date and age|mf|=|yes|1987|6|17}},kendricklamar
Serena Williams,39,serenawilliams
Residente,{{Birth date and age|1978|2|23|mf|=|y}},Residente
Adam Levine,{{birth date and age|mf|=|yes|1979|3|18}},adamlevine
Carlos Loret de Mola,{{birth date and age|df|=|yes|1976|10|17}},CarlosLoret
Ana Hickmann,{{Birth date and age|1981|3|1|df|=|yes}},ahickmann
Vanessa Hudgens,32,VanessaHudgens
James Corden,{{Birth date and age|1978|8|22|df|=|yes}},JKCorden
Michael Gordon Clifford,{{Birth date and age|df|=|yes|1995|11|20}},Michael5SOS
Cameron Dallas,{{Birth date and age|1994|9|8|mf|=|y}},camerondallas
Joaquín López-Dóriga,74,lopezdoriga
The Doctors,,DrBassemYoussef
Raisa,{{Birth date and age|df|=|yes|1990|6|6}},raisa6690
Anupam Kher,{{Birth date and age|df|=|yes|1955|03|07}},AnupamPkher
,57,MichelleObama
Mary J. Blige,50,maryjblige
Serginho Groisman,70,oserginho
Nicole Scherzinger,{{Birth date and age|mf|=|yes|1978|6|29}},NicoleScherzy
Black Eyed Peas,,bep
,,okanbayulgen
Amr Khaled<br>عمرو خالد,{{birth date and age|1967|9|5|df|=|y}},amrkhaled
Ant & Dec<br/><small> {{post-nominals|country|=|GBR|size|=|100%|commas|=|on|OBE}} </small>,[[Anthony McPartlin]]<br> {{Birth date and age|1975|11|18|df|=|y}} <br>[[Declan Donnelly]]<br> {{Birth date and age|1975|9|25|df|=|y}},antanddec
Iker Casillas,{{birth date and age|df|=|yes|1981|5|20}},CasillasWorld
Luisana Lopilato,33,lulopilato
International Federation of <br>Association Football,,Fiuk
Nick Cannon,40,NickCannon
Bambang Pamungkas,{{Birth date and age|1980|6|10|df|=|yes}},bepe20s
Sandy,{{Birth date and age|mf|=|yes|1983|1|28}},SandyLeah
Miranda Lambert,37,mirandalambert
Nash Grier,{{Birth date and age|1997|12|28|mf|=|yes}},Nashgrier
Bunga Citra Lestari,{{birth date and age|df|=|y|1983|03|22}},bclsinclair
Ben Stiller,55,RedHourBen
Demet Akalın,{{birth date and age|1972|4|23|df|=|yes}},DemetAkalin
Yeng Constantino,32,YengPLUGGEDin
Luke Bryan,{{birth date and age|mf|=|yes|1976|7|17}},LukeBryanOnline
Choi Si-won,"{{birth date and age|1986|04|07|df|=|yes}} {{efn|name|=|dob|Choi Si-won was born on 7 April 1986 while his registered birth date is 10 February 1987.|ref|{{cite news |url=http://m.spotvnews.co.kr/?mod=news&act=articleView&idxno=343970 |title=최시원, 생일 2번 챙기는 특별한 이유는…""호적엔 2월, 실제는 4월"" |work=Spotv News |language=ko |date=10 February 2020 |access-date=10 February 2020}}|</ref>}}",siwon407
,,MacMiller
Juan Mata,{{birth date and age|1988|4|28|df|=|y}},juanmata8
Tiger Woods,{{nowrap|birth date and age|1975|12|30|mf|=|yes}} {{birth date and age|1975|12|30|mf|=|yes}},TigerWoods
Mike Tyson,54,MikeTyson
Lenny Kravitz,56,LennyKravitz
Nicole Richie,39,nicolerichie
Hilary Duff,{{nowrap|Birth date and age|1987|9|28}} {{Birth date and age|1987|9|28}},HilaryDuff
,{{Birth date and age|1937|12|28|df|=|yes}},RNTata2000
Hiroiki Ariyoshi,{{Birth date and age|1974|5|31|df|=|y}},ariyoshihiroiki
G-Dragon,32,IBGDRGN
Anna Kendrick,35,AnnaKendrick47
Angelica Panganiban,{{birth date and age|mf|=|yes|1986|11|4}},sectorkekz
Jonathan Ross,{{birth date and age|1960|11|17|df|=|y}},wossy
Lucy Hale,31,lucyhale
Bridgit Mendler,28,bridgitmendler
,,donghae861015
John Cleese,{{birth date and age|df|=|y|1939|10|27}},JohnCleese
Soulja Boy,{{Birth date and age|1990|7|28|mf|=|y}},souljaboy
Tiago Leifert,40,TiagoLeifert
Carrie Underwood,38,carrieunderwood
Yoko Ono,88,yokoono
Novak Djokovic,{{birth date and age|df|=|yes|1987|5|22}},DjokerNole
Gaby Espino,{{Birth date and age|mf|=|yes|1977|11|15}},gabyespino
Laudya Cynthia Bella,{{birth date and age|df|=|yes|1988|2|24}},Bellaudyaa
Sweet Magnolias,,tyleroakley
Bill Simmons,{{Birth date and age|1969|09|25|mf|=|y}},BillSimmons
Diego Forlán,{{birth date and age|1979|5|19|df|=|y}},DiegoForlan7
Facundo: Civilization and Barbarism,,facufacundo
Bianca Gonzalez-Intal,38,iamsuperbianca
MS Dhoni,{{Birth date and age|1981|7|7|df|=|yes}},msdhoni
,,Skrillex
Virender Sehwag,{{Birth date and age|1978|10|20|df|=|yes}},virendersehwag
Jorge & Mateus,,jorgeemateus
The Lord Sugar,{{Birth date and age|1947|3|24|df|=|y}},Lord_Sugar
Cyprian,c. 210,MonsieurDream
Chris Paul,35,CP3
Irfan Bachdim,{{birth date and age|1988|8|11|df|=|y}},IrfanBachdim10
KC Concepcion,36,kc_concepcion
Daniel Padilla,25,imdanielpadilla
Gad Elmaleh,{{Birth date and age|1971|04|19|df|=|y}},gadelmaleh
Marcelo,{{birth date and age|1988|5|12|df|=|y}},MarceloM12
,{{birth date and age|mf|=|yes|1981|1|21}},micheltelo
Luis Manzano,39,luckymanzano
Hayley Williams,32,yelyahwilliams
,,DONOMAR
Neil deGrasse Tyson,62,neiltyson
Wisin & Yandel,,wisinyyandel
Noel Schajris,46,NoelSchajris
Joseph Simmons,{{birth date and age|1964|11|14|mf|=|y}},RevRunWisdom
Sandra Dewi,37,SandraDewi88
,{{birth date and age|df|=|yes|1961|10|11}},amrdiab
Shawn Mendes,22,ShawnMendes
Aleks Syntek,51,syntekoficial
Masjid al-Haram,,AdelAliBinAli
Felipe Neto,33,felipeneto
,,polo_polo
Ashton Irwin,{{Birth date and age|df|=|yes|1994|7|7}},Ashton5SOS
Nas,47,Wale
Chino & Nacho,,ChinoyNacho
Riteish Deshmukh,{{Birth date and age|df|=|y|1978|12|17}},Riteishd
Lamar Odom,{{birth date and age|mf|=|yes|1979|11|6}},RealLamarOdom
Preta Gil,46,PretaGil
Tom Cavalcante,59,TomCavalcante1
Randy Orton,{{birth date and age|1980|4|1|mf|=|y}},RandyOrton
DJ King Assassin,50,DjKingAssassin
Gading Marten,,gadiiing
Ozzy Osbourne,{{Birth date and age|df|=|yes|1948|12|3}},OzzyOsbourne
Adam Schefter,54,AdamSchefter
Vhong Navarro,44,VhongX44
Cristine Reyes,32,_CristineReyes_
Rainn Wilson,55,rainnwilson
Sıla,{{birth date and age|1980|6|17|df|=|yes}},silagencoglu
Rania,{{Birth date and age|1970|8|31|df|=|yes}},QueenRania
Hülya Avşar,{{birth date and age|df|=|yes|1963|10|10}},hulyavsar
Najwa Karam,{{birth date and age|1966|2|26|df|=|yes}},najwakaram
Víctor Valdés,{{birth date and age|1982|1|14|df|=|y}},1victorvaldes
Jamel Debbouze,{{birth date and age|1975|6|18|df|=|yes}},DebbouzeJamel
Julia Montes,26,montesjulia
Ajay Devgan,{{birth date and age|df|=|yes|1969|4|2}},ajaydevgn
Miranda Kerr,{{birth date and age|1983|4|20|df|=|y}},MirandaKerr
Rashid Al Shamrani راشد الشمراني,61,fayez_malki
Gary Barlow,{{birth date and age|df|=|yes|1971|01|20}},GaryBarlow
Shilpa Shetty,{{Birth date and age|df|=|yes|1975|6|8}},TheShilpaShetty
Carmen Aristegui,57,aristeguicnn
,83,BillCosby
TwitPic,,noaheverett
Andrea Legarreta,{{birth date and age|df|=|yes|1971|7|12}},AndreaLegarreta
Julieta Venegas,50,julietav
Bipasha Basu,{{birth date and age|1979|1|7|df|=|yes}},bipsluvurself
Cara Delevingne,{{birth date and age |1992|8|12|df|=|yes}},Caradelevingne
,51,galifianakisz
,,Nelly_Mo
Kelly Osbourne,{{birth date and age|1984|10|27|df|=|yes}},KellyOsbourne
Eddie Izzard,{{birth date and age|1962|2|7|df|=|y}},eddieizzard
,,KapilSharmaK9
Cüneyt Özdemir,51,cuneytozdemir
Dylan O'Brien,{{birth date and age|mf|=|yes|1991|8|26}},dylanobrien
Keri Hilson,38,KeriHilson
,{{Birth date and age|df|=|y|1967|11|4}},yilmazerdogan
Preity Zinta,{{Birth date and age |df|=|yes|1975|1|31}},realpreityzinta
Ezequiel Lavezzi,{{Birth date and age|1985|5|3|df|=|y31}},PochoLavezzi
Carlos Vives,{{Birth date and age|df|=|yes|1961|8|7}},carlosvives
Jack Whitehall,{{Birth date and age|1988|7|7|df|=|yes}},jackwhitehall
"{{nobold|""}} Weird Al {{nobold|""}} Yankovic",61,alyankovic
Alejandro Fernández,{{birth date and age|1971|4|24|df|=|yes}},alexoficial
Jenna Marbles,34,Jenna_Marbles
,,MaiteOficial
Shreya Ghoshal,{{birth date and age|df|=|yes|1984|03|12}},shreyaghoshal
Laura G,35,LAURAGII
Ragheb Alama,{{birth date and age|1962|6|7|df|=|yes}},raghebalama
Wyclef Jean,{{Birth date and age|mf|=|yes|1969|10|17}},wyclef
,{{Birth date and age|1955|3|7|df|=|y}},Alwaleed_Talal
Scooter Braun,39,scooterbraun
Adela Micha,57,Adela_Micha
Ashley Benson,{{Birth date and age|1989|12|18|mf|=|yes}},AshBenzo
Ivan Urgant,{{Birth date and age|1978|4|16|df|=|y}},urgantcom
Norman Thavaud,{{Birth date and age|1987|4|14|df|=|yes}},NormanDesVideos
Iya Villania-Arellano,{{Birth date and age|mf|=|yes|1986|06|29}},iyavillania
Usain Bolt,{{Birth date and age|df|=|yes|1986|8|21}},usainbolt
Lance Armstrong,{{birth date and age|mf|=|yes|1971|9|18}},lancearmstrong
Paul Weller,{{birth date and age|1958|05|25|df|=|y}},paulwesley
Luis Chataing,54,LuisChataing
Álvaro Arbeloa,{{birth date and age|1983|1|17|df|=|y}},aarbeloa17
Joseph Gordon-Levitt,40,hitRECordJoe
Hamza Namira,{{Birth date and age|df|=|yes|1980|November|15}},HamzaNamira
Madhuri Dixit,{{Birth date and age|1967|5|15|df|=|y}},MadhuriDixit
Jennifer Hudson,39,IAMJHUD
Mark Cuban,62,mcuban
Mehmet Öz,60,DrOz
Melinda,,belindapop
Joyce Meyer,77,JoyceMeyer
Gülben Ergen,{{birth date and age|1972|8|25|df|=|yes}},gulbenergen
Taraji P. Henson,50,TherealTaraji
Mohamed ElBaradei,{{birth date and age|1942|6|17|df|=|y}},ElBaradei
Jaime Camil,{{Birth date and age|1973|7|22|df|=|yes}},jaimecamil
Acun Ilıcalı,{{Birth date and age|1969|5|29|df|=|yes}},acunilicali
,44,alinebarros
,,OfficialWillow
Ahmet Hakan,{{Birth date and age|1967|8|11|df|=|y}},ahmethc
Pedro,{{birth date and age|1987|7|28|df|=|y}},_Pedro17_
Phillip Schofield,{{Birth date and age|1962|4|1|df|=|yes}},Schofe
Kyary Pamyu Pamyu,{{birth date and age|mf|=|yes|1993|1|29}},pamyurin
Enrique Gil,{{Birth date and age|df|=|yes|1992|03|30}},itsenriquegil
Sam Milby,36,samuelmilby
Mario Balotelli,{{birth date and age|1990|8|12|df|=|y}},FinallyMario
Dolly Parton,{{Birth date and age|mf|=|yes|1946|01|19}},DollyParton
Chris Moyles,{{Birth date and age|df|=|yes|1974|2|22}},ChrisMoyles
Brad Paisley,48,BradPaisley
Franco De Vita,67,FrancoDVita
Haifa Wehbe,{{birth date and age|1972|3|10|mf|=|yes}},HaifaWehbe
Rob Dyrdek,46,robdyrdek
JWoww,35,JENNIWOWW
Lata Mangeshkar,{{Birth date and age |df|=|yes|1929|9|28}},mangeshkarlata
Syahrini,{{Birth date and age|1982|08|1|df|=|y}},PrincesSyahrini
Jason Derulo,31,jasonderulo
Zoé,,zoetheband
Bruno Gagliasso,39,brunogagliasso
Bruna Marquezine,{{Birth date and age|df|=|yes|1995|8|4}},BruMarquezine
Josh Devine,{{Birth date and age|df|=|y|1991|7|9}},JoshDevineDrums
,,pedroalfonsoo
Kesha,34,KeshaRose
Jake T. Austin,26,JakeTAustin
,{{birth date and age|df|=|yes|1988|7|13}},officialtulisa
Louis Tomlinson,{{Birth date and age|df|=|y|1991|12|24}},EleanorJCalder
Chad Johnson,,ochocinco
Chris Rock,56,chrisrock
Wesley Sneijder,{{birth date and age|1984|6|9|df|=|y}},sneijder101010
Sean Kingston,{{birth date and age|mf|=|yes|1990|2|3}},SeanKingston
Murat Boz,{{birth date and age|1980|03|7|df|=|yes}},MuratBoz
Daniel Mananta,{{Birth date and age|df|=|y|1981|8|14}},vjdaniel
James Franco,42,JamesFrancoTV
,,FePaesLeme
Ana Maria Braga,72,ANAMARIABRAGA
Gisele Bündchen,{{Birth date and age|df|=|yes|1980|7|20}},giseleofficial
Ayu Ting Ting,{{Birth date and age|df|=|yes|1992|6|20}},mrsayudewi
Nelly Furtado,{{Birth date and age|1978|12|2|df|=|yes}},NellyFurtado
Kim Atienza,54,kuyakim_atienza
Nikki Gil,{{Birth date and age|1987|8|23|mf|=|y}},nikkigil
The Rachel Maddow Show,,maddow
Questlove,50,questlove
Erika de la Vega,46,ErikaDLV
Romeo Santos,39,RomeoSantosPage
Yuvraj Singh,{{Birth date and age|1981|12|12|df|=|yes}},YUVSTRONG12
,{{Birth date and age|1981|08|05|mf|=|yes}},TravieMcCoy
Lauren Conrad,35,LaurenConrad
David Silva,{{Birth date and age|1986|1|8|df|=|y}},21LVA
Caio Castro,{{Birth date and age|df|=|yes|1989|01|22}},CaioCastro
Thiaguinho,38,thiaguinhocomth
Ahmet Kural,{{birth date and age|1989|11|10|df|=|y}},AHMTKURAL
Titi Kamal,{{Birth date and age|df|=|yes|1981|12|07}},Titi_KamaLL
Pavel Volya,,RealVolya
Jorge Rial,{{Birth date and age|mf|=|yes|1961|10|16}},rialjorge
Brooke Burke,{{birth date and age|mf|=|yes|1971|9|8}},brookeburke
Mustafa Ceceli,{{Birth date and age|df|=|y|1980|11|2}},mustafaceceli
Sami Al-Jaber,{{birth date and age|1972|12|11|df|=|yes}},SamiAlJaber
Giuliana Rancic,46,GiulianaRancic
Yesung,36,shfly3424
Andrés López Forero,{{Birth date and age|1971|6|25|mf|=|y}},lopezandres
Joey Essex,{{Birth date and age |1990|07|29|df|=|y}},JoeyEssex_
Heidi Klum,{{Birth date and age|df|=|yes|1973|06|01}},heidiklum
Around the World (La La La La La),,lala
Mustafa Agha,57,mustafa_agha
Emma Roberts,{{Birth date and age|mf|=|yes|1991|2|10}},RobertsEmma
Busta Rhymes,48,BustaRhymes
Mano Menezes,{{birth date and age|1962|6|11|df|=|y}},manomenezes
Nathan Fillion,{{Birth date and age|mf|=|yes|1971|3|27}},NathanFillion
Pattie Mallette,46,pattiemallette
Be Somebody,,TheMattEspinosa
Gustavo Cerati,{{birth date|1959|8|11|df|=|y}},cerati
Blake Griffin,32,blakegriffin32
Dana White,{{birth date and age|mf|=|yes|1969|07|28}},danawhite
Espinoza Paz,{{birth date and age|df|=|y|1981|10|29}},EspinozaOficial
Nichkhun,{{birth date and age|mf|=|yes|1988|6|24}},Khunnie0624
{{resize|85%|Sir}} <br/>Andrew Murray<br /> {{post-nominals|country|=|GBR|size|=|100|OBE}},{{Birth date and age|1987|5|15|df|=|y}},andy_murray
John Bishop,{{birth date and age|1966|11|30|df|=|y}},JohnBishop100
Lali,{{birth date and age|df|=|yes|1991|10|10}},laliespos
,{{birth date|1887|10|6|df|=|y}},corbuzier
Michelle Keegan,{{Birth date and age|1987|6|3|df|=|y}},michkeegan
Deadmau5,{{birth date and age|mf|=|yes|1981|1|5}},deadmau5
Pedro Viebig Bial,63,PBiaL
,,BRUNOIERULLO
Noah,,NOAH_ID
Drake Bell,34,DrakeBell
Ansel Elgort,{{birth date and age|1994|3|14|mf|=|yes}},AnselElgort
Sara Bareilles,41,SaraBareilles
M. Pokora,{{Birth date and age|df|=|yes|1985|9|26}},MPOFFICIAL
Tito El Bambino,39,Tbambino
Isco,{{birth date and age|1992|4|21|df|=|y}},isco_alarcon
Alejandro Vigilante,1964,VigilanteArtist
Kev Adams,{{birth date and age|1991|07|01|df|=|yes}},kevadamsss
Seth Meyers,47,sethmeyers
Andrea Serna,44,AndreaSernaTV
Leeteuk,37,special1004
,40,paugasol
Bill Maher,65,billmaher
J Balvin,{{birth date and age|mf|=|yes|1985|5|7}},JBALVIN
Mr. Carter,,S_C_
Vinny Guadagnino,33,VINNYGUADAGNINO
Lea Salonga,50,MsLeaSalonga
,,jack
Manu Ginóbili,{{birth date and age|df|=|yes|1977|7|28}},manuginobili
Georgina Wilson,{{birth date and age|1986|2|12|df|=|y}},ilovegeorgina
Jacqueline Bracamontes,{{Birth date and age|df|=|yes|1979|12|23}},jackybrv
,{{Birth date and age|mf|=|yes|1954|4|29}},JerrySeinfeld
Genelia D'Souza,{{birth date and age|df|=|yes|1987|08|05}},geneliad
Tracy Morgan,52,RealTracyMorgan
Drew Pinsky,62,drdrew
Locos sueltos en el zoo,,marley_ok
Felipe Andreoli,41,andreolifelipe
